id,name,base_exp,height,weight,type1,type2,hp,atk,def,sp_atk,sp_def,speed,image
197,umbreon,184,10,270,dark,null,95,65,110,60,130,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/197.png
198,murkrow,81,5,21,dark,flying,60,85,42,85,42,91,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/198.png
215,sneasel,86,9,280,dark,ice,55,95,55,35,75,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/215.png
229,houndoom,175,14,350,dark,fire,75,90,50,110,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/229.png
228,houndour,66,6,108,dark,fire,45,60,30,80,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/228.png
261,poochyena,56,5,136,dark,null,35,55,35,30,30,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/261.png
262,mightyena,147,10,370,dark,null,70,90,70,60,60,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/262.png
302,sableye,133,5,110,dark,ghost,50,75,75,65,65,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/302.png
359,absol,163,12,470,dark,null,65,130,60,75,60,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/359.png
430,honchkrow,177,9,273,dark,flying,100,125,52,105,52,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/430.png
461,weavile,179,11,340,dark,ice,70,120,65,45,85,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/461.png
491,darkrai,270,15,505,dark,null,70,90,90,135,90,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/491.png
510,liepard,156,11,375,dark,null,64,88,50,88,50,106,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/510.png
509,purrloin,56,4,101,dark,null,41,50,37,50,37,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/509.png
559,scraggy,70,6,118,dark,fighting,50,75,70,35,70,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/559.png
