id,name,base_exp,height,weight,type1,type2,hp,atk,def,sp_atk,sp_def,speed,image
35,clefairy,113,6,75,fairy,null,70,45,48,60,65,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png
36,clefable,242,13,400,fairy,null,95,70,73,95,90,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png
173,cleffa,44,3,30,fairy,null,50,25,28,45,55,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/173.png
175,togepi,49,3,15,fairy,null,35,20,65,40,65,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/175.png
176,togetic,142,6,32,fairy,flying,55,40,85,80,105,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/176.png
210,granbull,158,14,487,fairy,null,90,120,75,60,60,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/210.png
209,snubbull,60,6,78,fairy,null,60,80,50,40,40,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/209.png
468,togekiss,273,15,380,fairy,flying,85,50,95,120,115,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/468.png
670,floette,130,2,9,fairy,null,54,45,47,75,98,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/670.png
669,flabebe,61,1,1,fairy,null,44,38,39,61,79,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/669.png
671,florges,248,11,100,fairy,null,78,65,68,112,154,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/671.png
683,aromatisse,162,8,155,fairy,null,101,72,72,99,89,29,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/683.png
684,swirlix,68,4,35,fairy,null,62,48,66,59,57,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/684.png
682,spritzee,68,2,5,fairy,null,78,52,60,63,65,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/682.png
685,slurpuff,168,8,50,fairy,null,82,80,86,85,75,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/685.png
700,sylveon,184,10,235,fairy,null,95,65,65,110,130,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/700.png
716,xerneas,340,30,2150,fairy,null,126,131,95,131,98,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/716.png
764,comfey,170,1,3,fairy,null,51,52,90,82,110,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/764.png
868,milcery,54,2,3,fairy,null,45,40,40,50,61,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/868.png
869,alcremie,173,3,5,fairy,null,65,60,75,110,121,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/869.png
888,zacian,335,28,1100,fairy,null,92,120,115,80,115,138,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/888.png
905,enamorus-incarnate,None,16,480,fairy,flying,74,115,70,135,80,106,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/905.png
926,fidough,None,3,109,fairy,null,37,55,70,30,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/926.png
927,dachsbun,None,5,149,fairy,null,57,80,115,50,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/927.png
957,tinkatink,None,4,89,fairy,steel,50,45,45,35,64,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/957.png
958,tinkatuff,None,7,591,fairy,steel,65,55,55,45,82,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/958.png
959,tinkaton,None,7,1128,fairy,steel,85,75,77,70,105,94,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/959.png
985,scream-tail,None,12,80,fairy,psychic,115,65,99,65,115,111,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/985.png
1006,iron-valiant,None,14,350,fairy,fighting,74,130,90,120,60,116,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1006.png
