id,name,base_exp,height,weight,type1,type2,hp,atk,def,sp_atk,sp_def,speed,image
6,charizard,267,17,905,fire,flying,78,84,78,109,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
4,charmander,62,6,85,fire,null,39,52,43,60,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,charmeleon,142,11,190,fire,null,58,64,58,80,65,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
37,vulpix,60,6,99,fire,null,38,41,40,50,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png
38,ninetales,177,11,199,fire,null,73,76,75,81,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png
59,arcanine,194,19,1550,fire,null,90,110,80,100,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png
58,growlithe,70,7,190,fire,null,55,70,45,70,50,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png
77,ponyta,82,10,300,fire,null,50,85,55,65,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png
78,rapidash,175,17,950,fire,null,65,100,70,80,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png
126,magmar,173,13,445,fire,null,65,95,57,100,85,93,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png
136,flareon,184,9,250,fire,null,65,130,60,95,110,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png
146,moltres,290,20,600,fire,flying,90,100,90,125,85,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/146.png
157,typhlosion,240,17,795,fire,null,78,84,78,109,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/157.png
155,cyndaquil,62,5,79,fire,null,39,52,43,60,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/155.png
156,quilava,142,9,190,fire,null,58,64,58,80,65,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/156.png
218,slugma,50,7,350,fire,null,40,40,40,70,40,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/218.png
219,magcargo,151,8,550,fire,rock,60,50,120,90,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/219.png
240,magby,73,7,214,fire,null,45,75,37,70,55,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/240.png
244,entei,290,21,1980,fire,null,115,115,85,90,75,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/244.png
250,ho-oh,340,38,1990,fire,flying,106,130,90,110,154,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/250.png
257,blaziken,265,19,520,fire,fighting,80,120,70,110,70,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/257.png
256,combusken,142,9,195,fire,fighting,60,85,60,85,60,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/256.png
255,torchic,62,4,25,fire,null,45,60,40,70,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/255.png
322,numel,61,7,240,fire,ground,60,60,40,65,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/322.png
323,camerupt,161,19,2200,fire,ground,70,100,70,105,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/323.png
324,torkoal,165,5,804,fire,null,70,85,140,85,70,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/324.png
390,chimchar,62,5,62,fire,null,44,58,44,58,44,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/390.png
391,monferno,142,9,220,fire,fighting,64,78,52,78,52,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/391.png
392,infernape,240,12,550,fire,fighting,76,104,71,104,71,108,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/392.png
467,magmortar,270,16,680,fire,null,75,95,67,125,95,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/467.png
485,heatran,300,17,4300,fire,steel,91,90,106,130,106,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/485.png
498,tepig,62,5,99,fire,null,65,63,45,45,45,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/498.png
499,pignite,146,10,555,fire,fighting,90,93,55,70,55,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/499.png
500,emboar,238,16,1500,fire,fighting,110,123,65,100,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/500.png
514,simisear,174,10,280,fire,null,75,98,63,98,63,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/514.png
513,pansear,63,6,110,fire,null,50,53,48,53,48,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/513.png
