id,name,base_exp,height,weight,type1,type2,hp,atk,def,sp_atk,sp_def,speed,image
124,jynx,159,14,406,ice,psychic,65,50,35,115,95,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png
144,articuno,290,17,554,ice,flying,90,85,100,95,125,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png
220,swinub,50,4,65,ice,ground,50,50,40,30,30,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/220.png
225,delibird,116,9,160,ice,flying,45,55,45,65,45,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/225.png
221,piloswine,158,11,558,ice,ground,100,100,80,60,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/221.png
238,smoochum,61,4,60,ice,psychic,45,30,15,85,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/238.png
361,snorunt,60,7,168,ice,null,50,50,50,50,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/361.png
362,glalie,168,15,2565,ice,null,80,80,80,80,80,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/362.png
363,spheal,58,8,395,ice,water,70,40,50,55,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/363.png
364,sealeo,144,11,876,ice,water,90,60,70,75,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/364.png
365,walrein,265,14,1506,ice,water,110,80,90,95,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/365.png
378,regice,290,18,1750,ice,null,80,50,100,100,200,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/378.png
471,glaceon,184,8,259,ice,null,65,60,110,130,95,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/471.png
473,mamoswine,265,25,2910,ice,ground,110,130,80,70,60,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/473.png
478,froslass,168,13,266,ice,ghost,70,80,70,80,70,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/478.png
582,vanillite,61,4,57,ice,null,36,50,50,65,60,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/582.png
583,vanillish,138,11,410,ice,null,51,65,65,80,75,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/583.png
584,vanilluxe,268,13,575,ice,null,71,95,85,110,95,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/584.png
614,beartic,177,26,2600,ice,null,95,130,80,70,80,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/614.png
615,cryogonal,180,11,1480,ice,null,80,50,50,95,135,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/615.png
613,cubchoo,61,5,85,ice,null,55,70,40,60,40,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/613.png
712,bergmite,61,10,995,ice,null,55,69,85,32,35,28,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/712.png
713,avalugg,180,20,5050,ice,null,95,117,184,44,46,28,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/713.png
866,mr-rime,182,15,582,ice,psychic,80,85,75,110,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/866.png
872,snom,37,3,38,ice,bug,30,25,35,45,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/872.png
873,frosmoth,166,13,420,ice,bug,70,65,60,125,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/873.png
875,eiscue-ice,165,14,890,ice,null,75,80,110,65,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/875.png
896,glastrier,290,22,8000,ice,null,100,145,130,65,110,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/896.png
974,cetoddle,None,12,450,ice,null,108,68,45,30,40,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/974.png
975,cetitan,None,45,7000,ice,null,170,113,65,45,55,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/975.png
991,iron-bundle,None,6,110,ice,water,56,80,114,124,60,136,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/991.png
